,1,2,3,4,5,6,7,8,9,10,11,12
2023-05-29,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03,0,0,4,0,0,0,0,0,0,0,6,0
2023-06-09,0,0,5,0,0,0,0,0,0,0,6,1
2023-06-16,4,5,5,0,1,3,3,0,0,0,6,5
2023-06-24,4,5,2,0,0,4,3,0,0,5,0,5
2023-07-01,0,4,2,0,0,4,1,0,0,5,0,0
2023-07-07,0,0,2,0,0,2,0,0,2,4,0,0
2023-07-19,0,0,1,0,0,2,0,0,4,1,0,0
2023-07-31,0,0,1,0,0,2,0,3,4,0,0,0
2023-08-06,0,0,1,0,0,2,0,0,0,0,0,0
