,1,2,3,4,5,6,7,8,9,10,11,12
2024-05-24,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-30,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-06,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-13,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-19,0,7,2,5,4,5,0,6,5,3,5,0
