,1,2,3,4,5,6,7,8,9,10,11,12
2023-05-29,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03,1,1,1,0,1,0,1,1,1,0,1,1
2023-06-09,1,1,1,0,1,1,1,1,1,1,1,1
2023-06-16,1,1,1,0,1,1,1,1,1,1,1,1
2023-06-24,1,1,1,0,0,1,1,1,1,1,1,1
2023-07-01,1,1,1,0,0,1,1,1,1,1,1,1
2023-07-07,1,1,1,0,0,1,1,1,1,1,1,1
2023-07-19,1,1,1,0,0,1,1,1,1,1,1,1
2023-07-31,1,1,1,0,0,1,1,1,1,1,1,1
2023-08-06,1,1,1,0,0,1,1,1,1,1,1,1
