,1,2,3,4,5,6,7,8,9,10,11,12
2023-05-29,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-09,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-16,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-24,0,0,3,0,0,0,0,0,0,0,6,0
2023-07-01,4,1,3,0,0,0,2,0,0,0,6,5
2023-07-07,4,5,3,0,0,2,3,0,0,1,6,5
2023-07-19,3,5,0,0,0,2,3,0,0,4,0,5
2023-07-31,0,3,0,0,0,2,0,0,0,4,0,0
2023-08-06,0,0,0,0,0,0,0,0,0,0,0,0
